"subject","STIM","trial","keyboard","choice","count_correct","filename","gender","correct","MEL","RYT","Forfra","Bagfra","Rangordning","met_total","wm_total"
1,"B2","   0",44321,"B2",1,"1 chris-dkgirl ","girl",1,18,14,11,4,5,32,20
1,"B4","   1",51534,"C2PH",1,"1 chris-dkgirl ","girl",0,18,14,11,4,5,32,20
1,"B4","   2",51534,"B4",2,"1 chris-dkgirl ","girl",1,18,14,11,4,5,32,20
1,"B3","   3",15254,"C2PH",2,"1 chris-dkgirl ","girl",0,18,14,11,4,5,32,20
1,"C2PH","   4",33333,"C4PS",2,"1 chris-dkgirl ","girl",0,18,14,11,4,5,32,20
1,"C4PS","   5",12343,"B3",2,"1 chris-dkgirl ","girl",0,18,14,11,4,5,32,20
1,"B3","   6",15254,"B2",2,"1 chris-dkgirl ","girl",0,18,14,11,4,5,32,20
1,"C2PH","   7",33333,"C2PH",3,"1 chris-dkgirl ","girl",1,18,14,11,4,5,32,20
1,"B3","   38",15254,"B4",21,"1 chris-dkgirl ","girl",0,18,14,11,4,5,32,20
1,"B3","   39",15254,"B3",22,"1 chris-dkgirl ","girl",1,18,14,11,4,5,32,20
1,"C4PS","   40",12343,"B4",22,"1 chris-dkgirl ","girl",0,18,14,11,4,5,32,20
1,"C4PS","   41",12343,"C4PS",23,"1 chris-dkgirl ","girl",1,18,14,11,4,5,32,20
1,"B3","   42",15254,"B3",24,"1 chris-dkgirl ","girl",1,18,14,11,4,5,32,20
1,"C2PH","   43",33333,"C2PH",25,"1 chris-dkgirl ","girl",1,18,14,11,4,5,32,20
1,"B2","   44",44321,"B2",26,"1 chris-dkgirl ","girl",1,18,14,11,4,5,32,20
1,"C2PH","   45",33333,"C2PH",27,"1 chris-dkgirl ","girl",1,18,14,11,4,5,32,20
1,"B4","   46",51534,"C4PS",27,"1 chris-dkgirl ","girl",0,18,14,11,4,5,32,20
1,"B3","   47",15254,"C4PS",27,"1 chris-dkgirl ","girl",0,18,14,11,4,5,32,20
1,"B2","   8",44321,"B3",3,"1 chris-dkgirl ","girl",0,18,14,11,4,5,32,20
1,"C4PS","   9",12343,"B3",3,"1 chris-dkgirl ","girl",0,18,14,11,4,5,32,20
1,"C4PS","   10",12343,"B3",3,"1 chris-dkgirl ","girl",0,18,14,11,4,5,32,20
1,"B2","   11",44321,"B2",4,"1 chris-dkgirl ","girl",1,18,14,11,4,5,32,20
1,"C4PS","   12",12343,"C4PS",5,"1 chris-dkgirl ","girl",1,18,14,11,4,5,32,20
1,"C2PH","   13",33333,"C2PH",6,"1 chris-dkgirl ","girl",1,18,14,11,4,5,32,20
1,"B3","   14",15254,"B3",7,"1 chris-dkgirl ","girl",1,18,14,11,4,5,32,20
1,"C2PH","   15",33333,"C2PH",8,"1 chris-dkgirl ","girl",1,18,14,11,4,5,32,20
1,"B4","   16",51534,"B4",9,"1 chris-dkgirl ","girl",1,18,14,11,4,5,32,20
1,"B4","   17",51534,"B4",10,"1 chris-dkgirl ","girl",1,18,14,11,4,5,32,20
1,"B2","   18",44321,"B2",11,"1 chris-dkgirl ","girl",1,18,14,11,4,5,32,20
1,"B3","   19",15254,"B4",11,"1 chris-dkgirl ","girl",0,18,14,11,4,5,32,20
1,"C4PS","   20",12343,"B4",11,"1 chris-dkgirl ","girl",0,18,14,11,4,5,32,20
1,"C2PH","   21",33333,"C2PH",12,"1 chris-dkgirl ","girl",1,18,14,11,4,5,32,20
1,"B4","   22",51534,"C4PS",12,"1 chris-dkgirl ","girl",0,18,14,11,4,5,32,20
1,"B2","   23",44321,"B2",13,"1 chris-dkgirl ","girl",1,18,14,11,4,5,32,20
1,"B2","   24",44321,"B2",14,"1 chris-dkgirl ","girl",1,18,14,11,4,5,32,20
1,"B3","   25",15254,"C4PS",14,"1 chris-dkgirl ","girl",0,18,14,11,4,5,32,20
1,"C2PH","   26",33333,"C2PH",15,"1 chris-dkgirl ","girl",1,18,14,11,4,5,32,20
1,"C4PS","   27",12343,"B3",15,"1 chris-dkgirl ","girl",0,18,14,11,4,5,32,20
1,"B4","   28",51534,"B3",15,"1 chris-dkgirl ","girl",0,18,14,11,4,5,32,20
1,"B3","   29",15254,"B4",15,"1 chris-dkgirl ","girl",0,18,14,11,4,5,32,20
1,"B4","   30",51534,"B3",15,"1 chris-dkgirl ","girl",0,18,14,11,4,5,32,20
1,"B2","   31",44321,"B2",16,"1 chris-dkgirl ","girl",1,18,14,11,4,5,32,20
1,"B4","   32",51534,"B4",17,"1 chris-dkgirl ","girl",1,18,14,11,4,5,32,20
1,"C4PS","   33",12343,"B3",17,"1 chris-dkgirl ","girl",0,18,14,11,4,5,32,20
1,"C2PH","   34",33333,"C2PH",18,"1 chris-dkgirl ","girl",1,18,14,11,4,5,32,20
1,"C4PS","   35",12343,"C4PS",19,"1 chris-dkgirl ","girl",1,18,14,11,4,5,32,20
1,"C2PH","   36",33333,"C2PH",20,"1 chris-dkgirl ","girl",1,18,14,11,4,5,32,20
1,"B2","   37",44321,"B2",21,"1 chris-dkgirl ","girl",1,18,14,11,4,5,32,20
1,"C2PH","   50",33333,"C2PH",29,"1 chris-dkgirl ","girl",1,18,14,11,4,5,32,20
1,"B2","   51",44321,"B2",30,"1 chris-dkgirl ","girl",1,18,14,11,4,5,32,20
1,"B2","   52",44321,"B2",31,"1 chris-dkgirl ","girl",1,18,14,11,4,5,32,20
1,"B4","   53",51534,"B3",31,"1 chris-dkgirl ","girl",0,18,14,11,4,5,32,20
1,"C4PS","   54",12343,"B3",31,"1 chris-dkgirl ","girl",0,18,14,11,4,5,32,20
1,"B3","   55",15254,"B3",32,"1 chris-dkgirl ","girl",1,18,14,11,4,5,32,20
1,"C4PS","   56",12343,"C4PS",33,"1 chris-dkgirl ","girl",1,18,14,11,4,5,32,20
1,"B3","   57",15254,"B3",34,"1 chris-dkgirl ","girl",1,18,14,11,4,5,32,20
1,"B4","   58",51534,"B3",34,"1 chris-dkgirl ","girl",0,18,14,11,4,5,32,20
1,"C2PH","   59",33333,"C2PH",35,"1 chris-dkgirl ","girl",1,18,14,11,4,5,32,20
1,"C2PH","   60",33333,"C2PH",36,"1 chris-dkgirl ","girl",1,18,14,11,4,5,32,20
1,"B2","   48",44321,"B2",28,"1 chris-dkgirl ","girl",1,18,14,11,4,5,32,20
1,"B4","   49",51534,"B3",28,"1 chris-dkgirl ","girl",0,18,14,11,4,5,32,20
1,"B2","   63",44321,"B2",39,"1 chris-dkgirl ","girl",1,18,14,11,4,5,32,20
1,"B4","   64",51534,"B3",39,"1 chris-dkgirl ","girl",0,18,14,11,4,5,32,20
1,"B3","   65",15254,"B3",40,"1 chris-dkgirl ","girl",1,18,14,11,4,5,32,20
1,"B3","   66",15254,"B3",41,"1 chris-dkgirl ","girl",1,18,14,11,4,5,32,20
1,"B4","   67",51534,"B4",42,"1 chris-dkgirl ","girl",1,18,14,11,4,5,32,20
1,"C4PS","   68",12343,"C4PS",43,"1 chris-dkgirl ","girl",1,18,14,11,4,5,32,20
1,"C2PH","   69",33333,"C2PH",44,"1 chris-dkgirl ","girl",1,18,14,11,4,5,32,20
1,"B2","   61",44321,"B2",37,"1 chris-dkgirl ","girl",1,18,14,11,4,5,32,20
1,"C4PS","   62",12343,"C4PS",38,"1 chris-dkgirl ","girl",1,18,14,11,4,5,32,20
2,"B3","   57",12343,"B3",48,"2 chris-dkgirl ","girl",1,19,17,14,14,11,36,39
2,"B4","   58",15254,"B4",49,"2 chris-dkgirl ","girl",1,19,17,14,14,11,36,39
2,"B3","   55",12343,"B3",46,"2 chris-dkgirl ","girl",1,19,17,14,14,11,36,39
2,"C4PS","   56",33333,"C4PS",47,"2 chris-dkgirl ","girl",1,19,17,14,14,11,36,39
2,"B2","   48",51534,"B2",40,"2 chris-dkgirl ","girl",1,19,17,14,14,11,36,39
2,"B4","   49",15254,"B4",41,"2 chris-dkgirl ","girl",1,19,17,14,14,11,36,39
2,"C2PH","   50",44321,"C2PH",42,"2 chris-dkgirl ","girl",1,19,17,14,14,11,36,39
2,"B2","   51",51534,"B2",43,"2 chris-dkgirl ","girl",1,19,17,14,14,11,36,39
2,"B2","   52",51534,"B2",44,"2 chris-dkgirl ","girl",1,19,17,14,14,11,36,39
2,"B4","   53",15254,"B3",44,"2 chris-dkgirl ","girl",0,19,17,14,14,11,36,39
2,"C4PS","   54",33333,"C4PS",45,"2 chris-dkgirl ","girl",1,19,17,14,14,11,36,39
2,"B2","   0",51534,"B4",0,"2 chris-dkgirl ","girl",0,19,17,14,14,11,36,39
2,"B4","   1",15254,"B4",1,"2 chris-dkgirl ","girl",1,19,17,14,14,11,36,39
2,"B4","   2",15254,"B4",2,"2 chris-dkgirl ","girl",1,19,17,14,14,11,36,39
2,"B3","   3",12343,"C2PH",2,"2 chris-dkgirl ","girl",0,19,17,14,14,11,36,39
2,"C2PH","   4",44321,"C2PH",3,"2 chris-dkgirl ","girl",1,19,17,14,14,11,36,39
2,"C4PS","   5",33333,"C4PS",4,"2 chris-dkgirl ","girl",1,19,17,14,14,11,36,39
2,"B3","   6",12343,"C2PH",4,"2 chris-dkgirl ","girl",0,19,17,14,14,11,36,39
2,"C2PH","   7",44321,"B2",4,"2 chris-dkgirl ","girl",0,19,17,14,14,11,36,39
2,"B2","   8",51534,"B4",4,"2 chris-dkgirl ","girl",0,19,17,14,14,11,36,39
2,"C4PS","   9",33333,"C4PS",5,"2 chris-dkgirl ","girl",1,19,17,14,14,11,36,39
2,"C4PS","   10",33333,"C4PS",6,"2 chris-dkgirl ","girl",1,19,17,14,14,11,36,39
2,"B2","   11",51534,"B2",7,"2 chris-dkgirl ","girl",1,19,17,14,14,11,36,39
2,"C4PS","   12",33333,"C4PS",8,"2 chris-dkgirl ","girl",1,19,17,14,14,11,36,39
2,"C2PH","   13",44321,"B3",8,"2 chris-dkgirl ","girl",0,19,17,14,14,11,36,39
2,"B3","   14",12343,"B3",9,"2 chris-dkgirl ","girl",1,19,17,14,14,11,36,39
2,"C2PH","   15",44321,"C2PH",10,"2 chris-dkgirl ","girl",1,19,17,14,14,11,36,39
2,"B4","   16",15254,"B4",11,"2 chris-dkgirl ","girl",1,19,17,14,14,11,36,39
2,"B4","   17",15254,"B4",12,"2 chris-dkgirl ","girl",1,19,17,14,14,11,36,39
2,"C2PH","   59",44321,"C2PH",50,"2 chris-dkgirl ","girl",1,19,17,14,14,11,36,39
2,"C2PH","   60",44321,"C2PH",51,"2 chris-dkgirl ","girl",1,19,17,14,14,11,36,39
2,"B2","   61",51534,"B2",52,"2 chris-dkgirl ","girl",1,19,17,14,14,11,36,39
2,"C4PS","   62",33333,"C4PS",53,"2 chris-dkgirl ","girl",1,19,17,14,14,11,36,39
2,"B2","   63",51534,"B2",54,"2 chris-dkgirl ","girl",1,19,17,14,14,11,36,39
2,"B4","   64",15254,"B4",55,"2 chris-dkgirl ","girl",1,19,17,14,14,11,36,39
2,"B3","   65",12343,"B3",56,"2 chris-dkgirl ","girl",1,19,17,14,14,11,36,39
2,"B3","   66",12343,"B3",57,"2 chris-dkgirl ","girl",1,19,17,14,14,11,36,39
2,"B4","   67",15254,"B4",58,"2 chris-dkgirl ","girl",1,19,17,14,14,11,36,39
2,"C4PS","   68",33333,"C4PS",59,"2 chris-dkgirl ","girl",1,19,17,14,14,11,36,39
2,"C2PH","   69",44321,"C2PH",60,"2 chris-dkgirl ","girl",1,19,17,14,14,11,36,39
2,"B3","   29",12343,"B3",22,"2 chris-dkgirl ","girl",1,19,17,14,14,11,36,39
2,"B4","   30",15254,"B4",23,"2 chris-dkgirl ","girl",1,19,17,14,14,11,36,39
2,"B2","   31",51534,"B2",24,"2 chris-dkgirl ","girl",1,19,17,14,14,11,36,39
2,"B4","   32",15254,"B3",24,"2 chris-dkgirl ","girl",0,19,17,14,14,11,36,39
2,"C4PS","   33",33333,"C4PS",25,"2 chris-dkgirl ","girl",1,19,17,14,14,11,36,39
2,"C2PH","   34",44321,"C2PH",26,"2 chris-dkgirl ","girl",1,19,17,14,14,11,36,39
2,"C4PS","   35",33333,"C4PS",27,"2 chris-dkgirl ","girl",1,19,17,14,14,11,36,39
